winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Skone,Hander,2 RÉPLICAS,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
Force,Santi,PLAYOFFS,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
Teorema,Drose,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,1,2019-2020,"Domingo, 07 de Abril de 2019",07/04/2019
Nitro,Pepe Grillo,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,1,2019-2020,"Domingo, 07 de Abril de 2019",07/04/2019
Acertijo,Ricto,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,1,2019-2020,"Domingo, 07 de Abril de 2019",07/04/2019
Stigma,Kaiser,2 RÉPLICAS,FALSE,FALSE,"Santiago, Chile",FMS Chile,1,2019-2020,"Domingo, 07 de Abril de 2019",07/04/2019
El Menor,Tom Crowley,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,1,2019-2020,"Domingo, 07 de Abril de 2019",07/04/2019
Cacha,Replik,1 RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,1,2019-2020,"Domingo, 14 de Abril de 2019",14/04/2019
Klan,Nacho,SIN RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,1,2019-2020,"Domingo, 14 de Abril de 2019",14/04/2019
MKS,Stuart,1 RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,1,2019-2020,"Domingo, 14 de Abril de 2019",14/04/2019
SUB,Trueno,1 RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,1,2019-2020,"Domingo, 14 de Abril de 2019",14/04/2019
Dtoke,Papo,1 RÉPLICA,FALSE,FALSE,"Córdoba, Argentina",FMS Argentina,1,2019-2020,"Domingo, 14 de Abril de 2019",14/04/2019
Jack Adrenalina,McKlopedia,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2019-2020,"Sábado, 20 de Abril de 2019",20/04/2019
Lobo Estepario,Potencia,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2019-2020,"Sábado, 20 de Abril de 2019",20/04/2019
Aczino,Yoiker,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2019-2020,"Sábado, 20 de Abril de 2019",20/04/2019
Zticma,RC,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2019-2020,"Sábado, 20 de Abril de 2019",20/04/2019
Rapder,Jony Beltrán,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2019-2020,"Sábado, 20 de Abril de 2019",20/04/2019
Bnet,Force,SIN RÉPLICA,FALSE,FALSE,"Pamplona, España",FMS Espana,1,2019-2020,"Sábado, 27 de Abril de 2019",27/04/2019
Zasko,Walls,2 RÉPLICAS,FALSE,FALSE,"Pamplona, España",FMS Espana,1,2019-2020,"Sábado, 27 de Abril de 2019",27/04/2019
Chuty,BTA,SIN RÉPLICA,FALSE,FALSE,"Pamplona, España",FMS Espana,1,2019-2020,"Sábado, 27 de Abril de 2019",27/04/2019
Skone,Mr Ego,1 RÉPLICA,FALSE,FALSE,"Pamplona, España",FMS Espana,1,2019-2020,"Sábado, 27 de Abril de 2019",27/04/2019
Errecé,Blon,1 RÉPLICA,FALSE,FALSE,"Pamplona, España",FMS Espana,1,2019-2020,"Sábado, 27 de Abril de 2019",27/04/2019
Ricto,Kaiser,2 RÉPLICAS,FALSE,FALSE,"Concepción, Chile",FMS Chile,2,2019-2020,"Domingo, 05 de Mayo de 2019",05/05/2019
Pepe Grillo,Tom Crowley,SIN RÉPLICA,FALSE,FALSE,"Concepción, Chile",FMS Chile,2,2019-2020,"Domingo, 05 de Mayo de 2019",05/05/2019
Acertijo,Drose,2 RÉPLICAS,FALSE,FALSE,"Concepción, Chile",FMS Chile,2,2019-2020,"Domingo, 05 de Mayo de 2019",05/05/2019
Teorema,El Menor,SIN RÉPLICA,FALSE,FALSE,"Concepción, Chile",FMS Chile,2,2019-2020,"Domingo, 05 de Mayo de 2019",05/05/2019
Nitro,Stigma,1 RÉPLICA,FALSE,FALSE,"Concepción, Chile",FMS Chile,2,2019-2020,"Domingo, 05 de Mayo de 2019",05/05/2019
Klan,Replik,1 RÉPLICA,FALSE,FALSE,"Santa Fe, Argentina",FMS Argentina,2,2019-2020,"Sábado, 11 de Mayo de 2019",11/05/2019
Stuart,Cacha,2 RÉPLICAS,FALSE,FALSE,"Santa Fe, Argentina",FMS Argentina,2,2019-2020,"Sábado, 11 de Mayo de 2019",11/05/2019
SUB,MKS,1 RÉPLICA,FALSE,FALSE,"Santa Fe, Argentina",FMS Argentina,2,2019-2020,"Sábado, 11 de Mayo de 2019",11/05/2019
